Nätområde,NätId,Nättyp,Elområde,Nätägare,EDIELID
Ajaure-Grundfors,AJG,Stamnät,2,Svenska kraftnät,10000
Alingsås,ALS,Lokalnät,3,Alingsås Energi Elnät AB,16700
Almnäs,AMS,Lokalnät,3,Almnäs Elnät AB,16800
Alvesta Köping,ALV,Lokalnät,4,Alvesta Elnät AB,16900
Ardala,ARD,Lokalnät,3,Vattenfall Eldistribution AB,16400
Aros,AOS,Regionnät,3,Mälarenergi AB,40100
Arvidsjaurbygden,AJB,Lokalnät,1,Vattenfall Eldistribution AB,16400
Arvika,ARV,Lokalnät,3,Arvika Elnät AB,17000
Avesta,AVE,Lokalnät,3,Vattenfall Eldistribution AB,16400
Avesta region,AVR,Regionnät,3,Vattenfall Eldistribution AB,16400
Bengtsfors,BEF,Lokalnät,3,Bengtsfors Energi Nät AB,17300
Berg,BRG,Lokalnät,2,Bergs Tingslags Elektriska AB,17400
Bergslagen region,BGS,Regionnät,3,Vattenfall Eldistribution AB,16400
Bergslagen Östra,BGO,Lokalnät,3,Vattenfall Eldistribution AB,16400
Bergvik region,BEV,Regionnät,2,Ellevio AB,14900
Bjäre,BJR,Lokalnät,4,Bjäre Kraft Elnät AB,17600
Bjärke,BKE,Lokalnät,3,Bjärke Energi ek för,17700
Björklinge,BJL,Lokalnät,3,Upplands Energi ek för,17800
Björnekulla,BJK,Lokalnät,4,Kraftringen Nät AB,24700
Björnlandet,BLT,Regionnät,2,Vattenfall Eldistribution AB,16400
Blekinge,BLE,Lokalnät,4,E.ON Energidistribution AB,16000
Bliekevare,BLI,Regionnät,2,Bliekevare Nät AB,51700
Boden,BDN,Lokalnät,1,Bodens Energi Nät AB,17900
Bohuslän Norra,NBL,Lokalnät,3,Ellevio AB,14900
Boo,BOO,Lokalnät,3,Boo Energi ek för,18100
Borgholm,BHM,Lokalnät,4,Borgholm Energi Elnät AB,18200
Borlänge,BRL,Lokalnät,3,"Borlänge Energi Elnät, AB",18400
Borås,BRS,Lokalnät,3,Nätkraft Borås Infra AB,11100
Brittedal,BDL,Lokalnät,4,Brittedals Elnät ek för,18700
Brobacken,BBN,Regionnät,1,Brobacken Nät AB,65930
Bromölla,BMA,Lokalnät,4,Bromölla Energi och Vatten AB,18800
Brännliden,BLN,Lokalnät,1,Brännliden Nät AB,15700
Bygdeå-Robertsfors,BYG,Lokalnät,2,Skellefteå Kraft Elnät AB,10600
Carlfors Bruk,CBR,Lokalnät,3,Carlfors Bruk KB,45800
Dalarna region,DAL,Regionnät,3,Ellevio AB,14900
Dalsland med omnejd,DAD,Lokalnät,3,Vattenfall Eldistribution AB,16400
Dalstorp,DAP,Lokalnät,3,Östra Kinds Elnät AB,45500
Danderyd,DAN,Lokalnät,3,E.ON Energidistribution AB,16000
Degerfors,DFS,Lokalnät,3,Degerfors Elnät AB,18900
Domsjö Fabriksområde,DOF,Lokalnät,2,Övik Energi Nät AB,45700
Dragaliden,DLN,Lokalnät,1,Dragaliden Net AB,52100
Drefviken,DRV,Lokalnät,3,Vattenfall Eldistribution AB,16400
Dubblabergen,DBB,Regionnät,1,Markbygden Net Väst AB,52900
