postnummer,elområde
10004,SE3
10005,SE3
10012,SE3
10019,SE3
10026,SE3
10028,SE3
10029,SE3
10031,SE3
10040,SE3
10041,SE3
10044,SE3
10052,SE3
10054,SE3
10055,SE3
10061,SE3
10064,SE3
10073,SE3
10074,SE3
10101,SE3
10110,SE3
10120,SE3
10121,SE3
10122,SE3
10123,SE3
10124,SE3
10125,SE3
10126,SE3
10127,SE3
10128,SE3
10129,SE3
10130,SE3
10131,SE3
10132,SE3
10133,SE3
10134,SE3
10135,SE3
10136,SE3
10137,SE3
10138,SE3
10139,SE3
10153,SE3
10154,SE3
10155,SE3
10156,SE3
10158,SE3
10159,SE3
10204,SE3
10214,SE3
10215,SE3
10216,SE3
10217,SE3
10220,SE3
10221,SE3
10222,SE3
10223,SE3
10224,SE3
10225,SE3
10226,SE3
10227,SE3
10228,SE3
10229,SE3
10230,SE3
10231,SE3
10232,SE3
10233,SE3
10234,SE3
10235,SE3
10239,SE3
10240,SE3
10241,SE3
10242,SE3
10243,SE3
10244,SE3
10245,SE3
10246,SE3
10247,SE3
10248,SE3
10249,SE3
10250,SE3
10251,SE3
10252,SE3
10253,SE3
10254,SE3
10260,SE3
10261,SE3
10262,SE3
10263,SE3
10264,SE3
10265,SE3
10266,SE3
10267,SE3
10268,SE3
10269,SE3
10270,SE3
10271,SE3
10272,SE3
10273,SE3
10274,SE3
10301,SE3
10302,SE3
10303,SE3
10310,SE3
10311,SE3
10312,SE3
10313,SE3
10314,SE3
10315,SE3
10316,SE3
10317,SE3
10318,SE3
10320,SE3
10321,SE3
10322,SE3
10323,SE3
10324,SE3
10325,SE3
10327,SE3
10329,SE3
10332,SE3
10333,SE3
10334,SE3
10335,SE3
10336,SE3
10337,SE3
10338,SE3
10339,SE3
10351,SE3
10354,SE3
10355,SE3
10359,SE3
10360,SE3
10361,SE3
10362,SE3
10363,SE3
10364,SE3
10365,SE3
10366,SE3
10367,SE3
10368,SE3
10369,SE3
10370,SE3
10371,SE3
10373,SE3
10374,SE3
10375,SE3
10376,SE3
10377,SE3
10380,SE3
10382,SE3
10383,SE3
10384,SE3
10385,SE3
10386,SE3
10387,SE3
10388,SE3
10389,SE3
10390,SE3
10391,SE3
10392,SE3
10393,SE3
10394,SE3
10395,SE3
10396,SE3
10397,SE3
10398,SE3
10399,SE3
10405,SE3
10420,SE3
10422,SE3
10425,SE3
10430,SE3
10431,SE3
10432,SE3
10435,SE3
10440,SE3
